# Column 1: Wavelength interval [nm]
# Column 2: photons s-1 nm-1
# Vega spectrum obtained from "Search for Transient, Monochromatic Light from the Galactic Plane"
# DOI  - 10.48550/arXiv.2301.01230

361.4003590664273          0
365.88868940754037          0
370.37701974865354          4524.886877827812
374.8653500897666          13574.660633484367
376.66068222621186          40723.981900452636
379.7418603522733          83877.68433085643
384.30836581644485          163441.38700634195
387.5345722742492          266432.59573773155
390.9505555825125          335412.75414387183
395.6949768439895          511934.89562069625
394.95366102188365          584388.0133910347
396.8217768935902          649056.9118967911
396.021155805716          416653.0578917288
397.35552428550636          331101.4942434882
403.1199961182008          720731.6077406714
405.00590356963784          809381.8894423125
407.5560299976817          899648.8936065976
408.0304721238294          976443.2105821834
408.3863037184402          1042459.37780681
411.2329564753263          1123834.4084265537
410.16546169149404          609087.9399036497
410.87712488071554          712827.6312566341
411.2329564753263          808034.6207234424
412.8341986510748          1201437.0866334613
413.9016934349071          1283620.478484527
415.14710401604475          1363109.3328978526
417.104177786404          1447987.262186658
419.5060410500267          1544316.9755858579
426.4447571449367          1621784.9269208787
427.24537823281094          1694537.4377398547
429.78067834441265          1769647.6688168533
433.8638458925712          1532865.1914754636
432.9386837465832          1448615.9875887975
432.7963511087389          1377120.9275740997
435.5184628075113          1867661.4681146406
433.91722063176286          1305176.7779864457
433.65034693580475          1237364.2524699927
433.65034693580475          1178084.428839716
433.65034693580475          1127786.3966685717
432.9386837465832          1056830.2441414224
433.65034693580475          1020903.078304891
435.25158911155324          1675675.6756756757
435.25158911155324          1616395.852045399
436.8528312873017          1815791.6224381481
442.1903052064632          1983237.8774976963
446.46028434179243          2012156.0382134402
457.1352321801155          1963093.0023679268
465.6751904507739          1900862.0186867923
472.0801591537678          1838425.7369151628
477.41763307292933          1776990.2833346943
486.6692545328093          1637952.1515473179
488.44841250586313          1570139.6260308647
489.4269493910428          1470890.8304074467
487.0250861274201          1411611.0067771699
488.0925809112524          1340475.2184208378
487.55883351933625          1282273.2097656569
487.3809177220308          1214011.5946762473
487.55883351933625          1144402.710867968
487.55883351933625          1096350.126561607
500.36877092532393          1627712.9092839062
511.5774661555631          1560300.4817506329
523.3199087777184          1508859.3124846902
535.0623513998739          1460602.5965542584
546.8047940220292          1415040.418061566
558.5472366441845          1386625.295990855
570.28967926634          1364579.0805911652
583.0328982483381          1342844.1659181842
593.7745645106506          1295990.8549032416
603.975070222826          1297043.2668317864
610.8544810519677          1240385.4005062464
624.3760816471769          1246046.6508804879
634.3393662962783          1197272.801502409
646.0818089184338          1130154.3235077977
655.6892619729244          1074023.9592203337
668.4991993789122          935447.74813657
666.8979572031637          866865.3547807627
679.7078946091515          922013.5543398382
687.1803580959775          863946.2725565445
699.304048855216          718537.4843985117
708.5302537726236          646699.1916387687
714.4014750837014          587082.5508287745
720.6285279893898          513521.6787784761
726.8829525562021          462373.8309538909
738.740356155078          454487.3574480824
746.4263185986706          383914.4280231893
758.1687612208259          264472.93214664795
770.1780775389395          273393.48411855986
781.6536464651367          226994.36596717546
793.396089087292          181922.1033722544
805.1385317094473          139544.37821507314
816.8809743316028          114558.667428758
828.6234169537581          106964.97101330943
840.3658595759134          93247.32587572467
852.1083021980689          77814.97509594169
863.8507448202242          68751.5309871803
875.5931874423795          57483.46533845039
887.335630064535          42296.0725075528
899.0780726866903          26373.805829999037
922.8679564406675          14300.878349216655
936.2268911640545          7352.821099044755
947.8270011483655          8954.573909256607
960.0438858966686          7757.00171470549
972.2607706449717          7757.00171470549
984.240434330201          2268.1291563468985
