Wavelength[nm]		Amplitude[a.u.]
357.437012		0.623768
358.793378		4.051047
360.149744		0.994561
361.506110		3.199121
362.862476		3.504557
364.218842		4.723973
365.575208		6.153884
366.931573		5.427167
368.287939		5.164473
369.644305		6.343354
371.000671		5.510527
372.357037		4.066545
373.713403		3.272249
375.069769		4.243218
376.426135		3.658471
377.782501		6.775537
379.138867		4.581081
380.495233		5.252548
381.851599		2.273553
383.207965		2.260233
384.564331		4.045161
385.920697		2.448735
387.277063		3.477500
388.633429		2.781155
389.989795		4.919588
391.346161		5.671296
392.702527		2.326187
394.058893		3.242397
395.415259		5.615948
396.771625		1.001337
398.127991		5.946581
399.484357		7.903384
400.840723		9.333575
402.197089		9.119372
403.553455		10.102556
404.909821		9.843325
406.266187		5.140564
407.622552		6.581484
408.978918		11.316797
410.335284		9.748654
411.691650		9.536167
413.048016		7.667887
414.404382		7.910265
415.760748		10.892528
417.117114		7.978886
418.473480		10.457651
419.829846		8.289047
421.186212		10.777052
422.542578		4.225998
423.898944		10.016392
425.255310		9.049834
426.611676		11.555814
427.968042		9.822016
429.324408		9.668243
430.680774		5.476626
432.037140		12.789201
433.393506		14.558637
434.749872		14.029400
436.106238		13.640739
437.462604		10.627301
438.818970		11.106373
440.175336		12.178808
441.531702		11.239898
442.888068		11.395243
444.244434		11.855130
445.600800		11.736863
446.957166		12.786727
448.313531		14.952569
449.669897		14.228998
451.026263		15.835544
452.382629		13.717028
453.738995		14.866621
455.095361		13.695278
456.451727		13.307227
457.808093		13.338696
459.164459		13.449744
460.520825		14.155158
461.877191		14.725344
463.233557		14.572422
464.589923		12.087017
465.946289		15.741055
467.302655		13.661863
468.659021		13.649667
470.015387		13.209342
471.371753		13.075921
472.728119		12.083742
474.084485		13.421332
475.440851		13.181598
476.797217		13.859771
478.153583		13.084819
479.509949		13.862500
480.866315		13.219039
482.222681		12.783703
483.579047		13.147376
484.935413		12.888885
486.291779		11.427122
487.648145		12.658777
489.004510		10.602415
490.360876		13.131592
491.717242		10.904858
493.073608		12.587210
494.429974		12.481519
495.786340		11.844629
497.142706		12.493145
498.499072		11.084988
499.855438		11.066362
501.211804		9.590516
502.568170		10.797389
503.924536		8.682891
505.280902		11.756549
506.637268		10.891796
507.993634		9.412358
509.350000		11.638203
510.706366		9.917149
512.062732		9.965361
513.419098		10.495752
514.775464		9.594514
516.131830		9.853406
517.488196		9.421398
518.844562		9.771037
520.200928		9.056132
521.557294		8.964974
522.913660		9.214166
524.270026		9.505812
525.626392		9.178274
526.982758		6.646461
528.339124		7.844251
529.695490		6.947970
531.051855		8.316168
532.408221		7.172609
533.764587		7.217237
535.120953		7.423046
536.477319		6.904351
537.833685		7.021750
539.190051		6.105485
540.546417		5.258219
541.902783		6.100852
543.259149		5.315685
544.615515		5.116538
545.971881		5.699890
547.328247		5.135335
548.684613		5.122845
550.040979		5.025496
551.397345		4.812123
552.753711		4.681227
554.110077		4.963234
555.466443		4.779714
556.822809		4.416528
558.179175		4.490288
559.535541		4.349858
560.891907		4.430623
562.248273		3.984422
563.604639		3.908082
564.961005		3.881968
566.317371		3.801541
567.673737		3.840959
569.030103		3.726763
570.386469		3.378352
571.742834		3.556808
573.099200		3.348338
574.455566		3.449903
575.811932		3.205341
577.168298		3.171549
578.524664		2.889212
579.881030		3.021860
581.237396		2.905166
582.593762		2.892786
583.950128		2.843235
585.306494		2.551093
586.662860		2.566908
588.019226		2.476546
589.375592		2.140820
590.731958		2.368283
592.088324		2.250589
593.444690		2.161931
594.801056		2.122199
596.157422		2.102959
597.513788		1.920916
598.870154		1.886350
600.226520		1.834250
601.582886		1.738198
602.939252		1.741489
604.295618		1.687387
605.651984		1.617923
607.008350		1.597521
608.364716		1.436055
609.721082		1.396539
611.077448		1.363358
612.433813		1.282080
613.790179		1.162657
615.146545		1.184319
616.502911		1.075736
617.859277		1.067507
619.215643		1.014484
620.572009		1.014367
621.928375		0.873232
623.284741		0.876425
624.641107		0.823314
625.997473		0.762307
627.353839		0.774800
628.710205		0.737464
630.066571		0.643296
631.422937		0.620499
632.779303		0.629069
634.135669		0.589102
635.492035		0.553843
636.848401		0.538542
638.204767		0.504015
639.561133		0.466526
640.917499		0.435692
642.273865		0.426076
643.630231		0.402594
644.986597		0.362550
646.342963		0.355733
647.699329		0.341665
649.055695		0.298987
650.412061		0.298369
651.768427		0.275417
653.124792		0.255756
654.481158		0.240841
655.837524		0.201168
657.193890		0.192548
658.550256		0.189760
659.906622		0.171229
661.262988		0.161012
662.619354		0.149587
663.975720		0.135819
665.332086		0.126789
666.688452		0.112583
668.044818		0.103113
669.401184		0.090343
670.757550		0.079137
672.113916		0.000000
673.470282		0.000000
674.826648		0.000000
676.183014		0.000000
677.539380		0.000000
678.895746		0.000000
