Wavelength[nm]		Amplitude[a.u.]
357.437012		0.644192
358.793378		4.178646
360.149744		1.024679
361.506110		3.292355
362.862476		3.602534
364.218842		4.850567
365.575208		6.311593
366.931573		5.559974
368.287939		5.284861
369.644305		6.483937
371.000671		5.626329
372.357037		4.148229
373.713403		3.335541
375.069769		4.321482
376.426135		3.722371
377.782501		6.887243
379.138867		4.652136
380.495233		5.328918
381.851599		2.304400
383.207965		2.288709
384.564331		4.093322
385.920697		2.476003
387.277063		3.513431
388.633429		2.807656
389.989795		4.962544
391.346161		5.716289
392.702527		2.342792
394.058893		3.262961
395.415259		5.647103
396.771625		1.006370
398.127991		5.973670
399.484357		7.935633
400.840723		9.365184
402.197089		9.143944
403.553455		10.122785
404.909821		9.856223
406.266187		5.143752
407.622552		6.581037
408.978918		11.308241
410.335284		9.734577
411.691650		9.515863
413.048016		7.646296
414.404382		7.882557
415.760748		10.847850
417.117114		7.941534
418.473480		10.402623
419.829846		8.240617
421.186212		10.707851
422.542578		4.196421
423.898944		9.940490
425.255310		8.976051
426.611676		11.454927
427.968042		9.730602
429.324408		9.572702
430.680774		5.419349
432.037140		12.648008
433.393506		14.389442
434.749872		13.858207
436.106238		13.466390
437.462604		10.485227
438.818970		10.950569
440.175336		11.999941
441.531702		11.067372
442.888068		11.212837
444.244434		11.657547
445.600800		11.533553
446.957166		12.556821
448.313531		14.673911
449.669897		13.954505
451.026263		15.524472
452.382629		13.442883
453.738995		14.563719
455.095361		13.410911
456.451727		13.025735
457.808093		13.051347
459.164459		13.154757
460.520825		13.839174
461.877191		14.390883
463.233557		14.235751
464.589923		11.803045
465.946289		15.365090
467.302655		13.330397
468.659021		13.313676
470.015387		12.879574
471.371753		12.745281
472.728119		11.774305
474.084485		13.073321
475.440851		12.835564
476.797217		13.491467
478.153583		12.732896
479.509949		13.485186
480.866315		12.854898
482.222681		12.427232
483.579047		12.776312
484.935413		12.520749
486.291779		11.096864
487.648145		12.288629
489.004510		10.288795
490.360876		12.738701
491.717242		10.574892
493.073608		12.202055
494.429974		12.095348
495.786340		11.474128
497.142706		12.098104
498.499072		10.730694
499.855438		10.709732
501.211804		9.278012
502.568170		10.441235
503.924536		8.393008
505.280902		11.359319
506.637268		10.519409
507.993634		9.086758
509.350000		11.230926
510.706366		9.566097
512.062732		9.608584
513.419098		10.115736
514.775464		9.243244
516.131830		9.488931
517.488196		9.069455
518.844562		9.402458
520.200928		8.711201
521.557294		8.620224
522.913660		8.856447
524.270026		9.133275
525.626392		8.815323
526.982758		6.381329
528.339124		7.528616
529.695490		6.665985
531.051855		7.970302
532.408221		6.864287
533.764587		6.896937
535.120953		7.083212
536.477319		6.578600
537.833685		6.680619
539.190051		5.800300
540.546417		4.987976
541.902783		5.778737
543.259149		5.027537
544.615515		4.831966
545.971881		5.374828
547.328247		4.835201
548.684613		4.823249
550.040979		4.734414
551.397345		4.537963
552.753711		4.419425
554.110077		4.690861
555.466443		4.522439
556.822809		4.183452
558.179175		4.258061
559.535541		4.129495
560.891907		4.210872
562.248273		3.791034
563.604639		3.722567
564.961005		3.701843
566.317371		3.629219
567.673737		3.670819
569.030103		3.562092
570.386469		3.229446
571.742834		3.400428
573.099200		3.201471
574.455566		3.298876
575.811932		3.065293
577.168298		3.033249
578.524664		2.763473
579.881030		2.890607
581.237396		2.779231
582.593762		2.767638
583.950128		2.720478
585.306494		2.441182
586.662860		2.456558
588.019226		2.370314
589.375592		2.049192
590.731958		2.267144
592.088324		2.154690
593.444690		2.070016
594.801056		2.032176
596.157422		2.013954
597.513788		1.839801
598.870154		1.807002
600.226520		1.757274
601.582886		1.665314
602.939252		1.668529
604.295618		1.616755
605.651984		1.550256
607.008350		1.530765
608.364716		1.376098
609.721082		1.338283
611.077448		1.306535
612.433813		1.228679
613.790179		1.114232
615.146545		1.134993
616.502911		1.030934
617.859277		1.023050
619.215643		0.972325
620.572009		0.972312
621.928375		0.837114
623.284741		0.840261
624.641107		0.789423
625.997473		0.731045
627.353839		0.743148
628.710205		0.707454
630.066571		0.617220
631.422937		0.595447
632.779303		0.603771
634.135669		0.565505
635.492035		0.531748
636.848401		0.517143
638.204767		0.484069
639.561133		0.448129
640.917499		0.418561
642.273865		0.409372
643.630231		0.386854
644.986597		0.348413
646.342963		0.341901
647.699329		0.328416
649.055695		0.287425
650.412061		0.286864
651.768427		0.264921
653.124792		0.246125
654.481158		0.231882
655.837524		0.193766
657.193890		0.185523
658.550256		0.182896
659.906622		0.165089
661.262988		0.155290
662.619354		0.144317
663.975720		0.131078
665.332086		0.122403
666.688452		0.108725
668.044818		0.099610
669.401184		0.087307
670.757550		0.076506
