Wavelength[nm]		Amplitude[a.u.]
357.437012		0.611235
358.793378		3.968360
360.149744		0.973954
361.506110		3.132188
362.862476		3.430530
364.218842		4.623262
365.575208		6.021471
366.931573		5.309328
368.287939		5.051325
369.644305		6.203146
371.000671		5.387657
372.357037		3.975925
373.713403		3.199943
375.069769		4.150248
376.426135		3.578993
377.782501		6.627565
379.138867		4.480046
380.495233		5.135577
381.851599		2.222434
383.207965		2.208930
384.564331		3.953530
385.920697		2.393849
387.277063		3.400381
388.633429		2.720139
389.989795		4.812816
391.346161		5.549547
392.702527		2.276796
394.058893		3.174217
395.415259		5.498921
396.771625		0.980921
398.127991		5.828333
399.484357		7.750185
400.840723		9.153733
402.197089		8.944091
403.553455		9.908858
404.909821		9.655066
406.266187		5.042491
407.622552		6.456233
408.978918		11.101964
410.335284		9.564051
411.691650		9.356037
413.048016		7.523408
414.404382		7.761593
415.760748		10.689054
417.117114		7.830875
418.473480		10.265017
419.829846		8.137437
421.186212		10.581331
422.542578		4.149797
423.898944		9.837078
425.255310		8.888899
426.611676		11.351653
427.968042		9.649622
429.324408		9.499663
430.680774		5.381750
432.037140		12.569021
433.393506		14.309563
434.749872		13.790888
436.106238		13.410296
437.462604		10.448907
438.818970		10.921124
440.175336		11.976970
441.531702		11.054826
442.888068		11.208828
444.244434		11.662456
445.600800		11.547358
446.957166		12.581633
448.313531		14.714325
449.669897		14.003792
451.026263		15.584449
452.382629		13.502144
453.738995		14.636572
455.095361		13.485974
456.451727		13.106401
457.808093		13.139947
459.164459		13.251919
460.520825		13.949672
461.877191		14.514407
463.233557		14.366469
464.589923		11.918511
465.946289		15.524628
467.302655		13.476653
468.659021		13.467247
470.015387		13.035400
471.371753		12.906681
472.728119		11.930065
474.084485		13.253671
475.440851		13.019904
476.797217		13.692887
478.153583		12.930218
479.509949		13.701846
480.866315		13.068833
482.222681		12.641334
483.579047		13.003934
484.935413		12.751185
486.291779		11.307628
487.648145		12.529276
489.004510		10.496359
490.360876		13.003218
491.717242		10.800726
493.073608		12.469878
494.429974		12.368013
495.786340		11.739614
497.142706		12.385225
498.499072		10.991761
499.855438		10.976379
501.211804		9.511905
502.568170		10.708178
503.924536		8.610582
505.280902		11.657868
506.637268		10.799659
507.993634		9.332114
509.350000		11.538218
510.706366		9.831294
512.062732		9.878432
513.419098		10.403500
514.775464		9.509547
516.131830		9.765494
517.488196		9.336715
518.844562		9.682561
520.200928		8.973527
521.557294		8.882603
522.913660		9.128890
524.270026		9.417202
525.626392		9.092240
526.982758		6.583868
528.339124		7.770032
529.695490		6.881925
531.051855		8.236752
532.408221		7.103796
533.764587		7.147677
535.120953		7.351173
536.477319		6.837194
537.833685		6.953140
539.190051		6.045316
540.546417		5.205814
541.902783		6.039374
543.259149		5.261528
544.615515		5.063840
545.971881		5.640549
547.328247		5.081298
548.684613		5.068367
550.040979		4.971491
551.397345		4.761820
552.753711		4.634139
554.110077		4.915270
555.466443		4.735419
556.822809		4.377351
558.179175		4.452244
559.535541		4.314480
560.891907		4.395733
562.248273		3.954075
563.604639		3.879331
564.961005		3.854419
566.317371		3.775553
567.673737		3.815704
569.030103		3.703234
570.386469		3.357909
571.742834		3.536221
573.099200		3.329818
574.455566		3.431642
575.811932		3.189138
577.168298		3.156275
578.524664		2.875991
579.881030		3.008762
581.237396		2.893284
582.593762		2.881665
583.950128		2.833005
585.306494		2.542543
586.662860		2.558939
588.019226		2.469470
589.375592		2.135235
590.731958		2.362693
592.088324		2.245839
593.444690		2.157908
594.801056		2.118782
596.157422		2.100101
597.513788		1.918789
598.870154		1.884737
600.226520		1.832863
601.582886		1.736943
602.939252		1.740290
604.295618		1.686284
605.651984		1.616920
607.008350		1.596584
608.364716		1.435252
609.721082		1.395795
611.077448		1.362667
612.433813		1.281465
613.790179		1.162130
615.146545		1.183814
616.502911		1.075305
617.859277		1.067108
619.215643		1.014225
620.572009		1.014236
621.928375		0.873231
623.284741		0.876535
624.641107		0.823523
625.997473		0.762597
627.353839		0.775195
628.710205		0.737934
630.066571		0.643789
631.422937		0.621051
632.779303		0.629680
634.135669		0.589722
635.492035		0.554472
636.848401		0.539197
638.204767		0.504670
639.561133		0.467160
640.917499		0.436299
642.273865		0.426685
643.630231		0.403184
644.986597		0.363094
646.342963		0.356280
647.699329		0.342203
649.055695		0.299468
650.412061		0.298732
651.768427		0.275722
653.124792		0.256012
654.481158		0.241056
655.837524		0.201326
657.193890		0.192678
658.550256		0.189869
659.906622		0.171309
661.262988		0.161070
662.619354		0.149624
663.975720		0.135838
665.332086		0.126796
666.688452		0.112584
668.044818		0.103106
669.401184		0.090330
670.757550		0.079120
