402.5	0.009886192158
402	0.0130840186
401.5	0.0178686846
401	0.02387259901
400.5	0.03254906088
400	0.04528999329
399.5	0.06424827129
399	0.0930410102
398.5	0.1329325438
398	0.1938158721
397.5	0.2953779697
397	0.4637334049
396.5	0.7515573502
396	1.241560102
395.5	2.043081045
395	3.416936874
394.5	5.817490578
394	9.941011429
393.5	16.57509422
393	26.15933037
392.5	38.81645966
392	52.92262268
391.5	66.84801483
391	79.10287476
390.5	87.76106262
390	93.05841064
389.5	95.80698395
389	96.95963287
388.5	97.46820068
388	97.78346252
387.5	98.01239014
387	98.1763382
386.5	98.19889069
386	98.14144135
385.5	98.00588989
385	97.8338089
384.5	97.55529785
384	97.27443695
383.5	97.07801056
383	96.92100525
382.5	96.8796463
382	96.87104034
381.5	96.96884155
381	97.05667114
380.5	97.25858307
380	97.38034058
379.5	97.50642395
379	97.54489899
378.5	97.61264038
378	97.6753006
377.5	97.78626251
377	97.92602539
376.5	98.06053162
376	98.11710358
375.5	98.17487335
375	98.13661194
374.5	98.01683044
374	97.90805817
373.5	97.75595856
373	97.57089233
372.5	97.40441895
372	97.35969543
371.5	97.42999268
371	97.54558563
370.5	97.6884079
370	97.79050446
369.5	97.86576843
369	97.91623688
368.5	97.90955353
368	97.96446228
367.5	97.98318481
367	97.98301697
366.5	97.92606354
366	97.93027496
365.5	97.88299561
365	97.86643982
364.5	97.83087158
364	97.78475189
363.5	97.78794098
363	97.72929382
362.5	97.70433044
362	97.69898224
361.5	97.67856598
361	97.60964203
360.5	97.52863312
360	97.37643433
359.5	97.24092102
359	97.14360046
358.5	97.06088257
358	97.0427475
357.5	97.0610199
357	97.1177063
356.5	97.18528748
356	97.18723297
355.5	97.17947388
355	97.19641113
354.5	97.23180389
354	97.27755737
353.5	97.3451767
353	97.35958099
352.5	97.31163788
352	97.18817139
351.5	97.09713745
351	96.97757721
350.5	96.90718842
350	96.82187653
349.5	97.07988739
349	96.75038147
348.5	96.96637726
348	96.90390015
347.5	96.82257843
347	96.96504974
346.5	96.76753235
346	96.84070587
345.5	96.80374146
345	96.62801361
344.5	96.71121979
344	96.51114655
343.5	96.5388031
343	96.44926453
342.5	96.32641602
342	96.26943207
341.5	96.18074799
341	96.1354599
340.5	95.96463013
340	95.89550781
339.5	95.80392456
339	95.669487
338.5	95.56472015
338	95.5079422
337.5	95.44080353
337	95.34371185
336.5	95.24156189
336	95.15397644
335.5	95.08483887
335	95.08238983
334.5	95.01867676
334	94.94314575
333.5	94.883255
333	94.60679626
332.5	94.40100098
332	94.12210846
331.5	93.9744873
331	93.84126282
330.5	93.70367432
330	93.56052399
329.5	93.43393707
329	93.28405762
328.5	93.05147552
328	92.806427
327.5	92.48195648
327	92.05422974
326.5	91.78388977
326	91.5124588
325.5	91.15477753
325	90.60858154
324.5	89.97944641
324	89.24120331
323.5	88.36872864
323	87.79606628
322.5	87.39079285
322	86.96696472
321.5	86.66764069
321	86.27593231
320.5	85.58586884
320	84.81008148
319.5	83.95237732
319	82.99789429
318.5	82.04988098
318	81.08521271
317.5	79.92363739
317	78.82247162
316.5	77.29943848
316	75.513237
315.5	73.52185822
315	71.35494232
314.5	69.4954834
314	68.06361389
313.5	66.81824493
313	65.9409256
312.5	65.04154205
312	63.93025589
311.5	62.51416779
311	60.51872253
310.5	57.72569656
310	54.19654083
309.5	50.06918335
309	45.63508987
308.5	40.57488632
308	34.70413208
307.5	28.03013039
307	20.53669548
306.5	13.21387291
306	7.353421211
305.5	3.246254921
305	1.056007862
304.5	0.2783662975
304	0.1222552359
303.5	0.06954301149
303	0.03825725615
302.5	0.01603329927
302	0.002772697946
